,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
16,이태원제1동,신당1동,126.9950384,37.5325225,127.0145478,37.5620973,이태원제1동신당1동,18000,840,0
46,이문3동,둔촌제2동,127.065075,37.6033571,127.1419221,37.5332885,이문3동둔촌제2동,14000,1980,0
128,이문3동,오금동,127.065075,37.6033571,126.9138,37.6674,이문3동오금동,23000,3000,0
170,상도1동,면목3.8동,126.953089,37.4981,127.0880603,37.5829681,상도1동면목3.8동,20000,2220,0
178,상도1동,영등포동,126.953089,37.4981,126.9106918,37.5203985,상도1동영등포동,5600,900,0
191,공릉1.3동,면목3.8동,127.073838,37.624874,127.0880603,37.5829681,공릉1.3동면목3.8동,6600,1260,0
253,답십리4동,충현동,127.06125,37.567417,126.9546863,37.5648265,답십리4동충현동,11000,1860,0
258,신당3동,광희동,127.0090022,37.552479,127.0050623,37.564494,신당3동광희동,2100,420,0
268,답십리4동,반포4동,127.06125,37.567417,127.0003853,37.4974314,답십리4동반포4동,15000,1680,0
287,신당3동,둔촌제2동,127.0090022,37.552479,127.1419221,37.5332885,신당3동둔촌제2동,15000,1800,0
306,장안1동,풍납2동,127.066375,37.567842,127.1157686,37.5292584,장안1동풍납2동,8700,1200,0
317,잠실3동,면목3.8동,127.094375,37.513333,127.0880603,37.5829681,잠실3동면목3.8동,13000,1440,0
340,장안2동,송산1동,127.0706,37.578483,127.0866851,37.7311817,장안2동송산1동,21000,1860,0
367,장안1동,휘경제2동,127.066375,37.567842,127.0685788,37.5902093,장안1동휘경제2동,2700,600,0
398,상도1동,신장2동,126.953089,37.4981,127.2140117,37.5417094,상도1동신장2동,34000,2880,0
405,방학제1동,가능동,127.0407251,37.6641763,127.0384877,37.7505409,방학제1동가능동,11000,1140,0
431,상도1동,안양8동,126.953089,37.4981,126.932137,37.3842191,상도1동안양8동,18000,2280,0
433,신당4동,혜화동,127.014687,37.557083,127.0005764,37.5869186,신당4동혜화동,4900,1080,0
445,신정4동,답십리3동,126.8558042,37.5245455,127.0512678,37.5717963,신정4동답십리3동,25000,2820,0
452,전농3동,상봉제2동,127.0600375,37.5781027,127.0808518,37.592892,전농3동상봉제2동,3700,720,0
485,고덕제2동,답십리3동,127.16435,37.5605,127.0512678,37.5717963,고덕제2동답십리3동,14000,1620,0
500,상도1동,종로1.2.3.4가동,126.953089,37.4981,126.9902618,37.574461,상도1동종로1.2.3.4가동,11000,1620,0
518,신당3동,여의동,127.0090022,37.552479,126.934584,37.5177232,신당3동여의동,14000,1680,0
551,사직동,제기동,126.9688397,37.576196,127.0378551,37.5831612,사직동제기동,14000,1680,0
582,신내1동,면목3.8동,127.099538,37.605882,127.0880603,37.5829681,신내1동면목3.8동,3800,660,0
609,성내제2동,답십리4동,127.129563,37.532425,127.06125,37.567417,성내제2동답십리4동,8800,1440,0
614,답십리4동,수유제3동,127.06125,37.567417,127.023125,37.638715,답십리4동수유제3동,10000,1920,0
687,방배3동,제기동,126.9999918,37.4784409,127.0378551,37.5831612,방배3동제기동,15000,2280,0
804,자양제2동,신당6동,127.084438,37.528825,127.0194239,37.5600562,자양제2동신당6동,9100,1020,0
818,신당3동,정자3동,127.0090022,37.552479,127.1195385,37.3607965,신당3동정자3동,29000,2700,0
848,이문3동,휘경제2동,127.065075,37.6033571,127.0685788,37.5902093,이문3동휘경제2동,2800,360,0
865,도봉제2동,의정부1동,127.046575,37.669751,127.0475771,37.7464356,도봉제2동의정부1동,11000,1260,0
1011,공릉1.3동,제기동,127.073838,37.624874,127.0378551,37.5831612,공릉1.3동제기동,7900,1200,0
1024,상도1동,여의동,126.953089,37.4981,126.934584,37.5177232,상도1동여의동,5800,900,0
1106,답십리3동,소사본2동,127.0512678,37.5717963,126.79993,37.4800723,답십리3동소사본2동,36000,3480,0
1125,일원본동,면목3.8동,127.0864633,37.4833484,127.0880603,37.5829681,일원본동면목3.8동,20000,2040,0
1131,명륜3가,석촌동,126.9931,37.5875,127.1037,37.503592,명륜3가석촌동,27000,2340,0
1172,중계4동,김포본동,127.0780091,37.6587275,126.7057,37.6275987,중계4동김포본동,51000,3120,0
1198,상도1동,역삼1동,126.953089,37.4981,127.0333574,37.4954841,상도1동역삼1동,11000,1440,0
1292,용답동,장안1동,127.0555515,37.5640618,127.066375,37.567842,용답동장안1동,1900,420,0
1296,제기동,종암동,127.0378551,37.5831612,127.0351572,37.5990075,제기동종암동,2200,540,0
1319,신당4동,이화동,127.014687,37.557083,127.004338,37.577008,신당4동이화동,3500,780,0
1324,내곡동,신당3동,127.0583103,37.4493583,127.0090022,37.552479,내곡동신당3동,14000,1620,0
1329,상도1동,제기동,126.953089,37.4981,127.0378551,37.5831612,상도1동제기동,17000,2220,0
1336,신당3동,화양동,127.0090022,37.552479,127.0713152,37.5465421,신당3동화양동,7600,1380,0
1349,구의제2동,전농3동,127.0899111,37.5472481,127.0600375,37.5781027,구의제2동전농3동,6700,1140,0
1428,제기동,신정3동,127.0378551,37.5831612,126.8547892,37.5151685,제기동신정3동,29000,2580,0
1438,신당4동,삼선동,127.014687,37.557083,127.0146297,37.5908326,신당4동삼선동,4300,960,0
1447,면목3.8동,장안1동,127.0880603,37.5829681,127.066375,37.567842,면목3.8동장안1동,3200,600,0
1458,휘경제2동,장안2동,127.0685788,37.5902093,127.0706,37.578483,휘경제2동장안2동,2700,540,0
1498,신당3동,진건읍,127.0090022,37.552479,127.1777148,37.6546279,신당3동진건읍,26000,3120,0
1526,장안2동,휘경제2동,127.0706,37.578483,127.0685788,37.5902093,장안2동휘경제2동,1900,360,0
1543,길동,신당3동,127.1426791,37.5345598,127.0090022,37.552479,길동신당3동,19000,1560,0
1565,장안1동,영등포본동,127.066375,37.567842,126.9093046,37.5146826,장안1동영등포본동,21000,1980,0
1582,논현2동,삼송동,127.037213,37.517342,126.8937039,37.6525828,논현2동삼송동,35000,3960,0
1596,답십리4동,광희동,127.06125,37.567417,127.0050623,37.564494,답십리4동광희동,7100,1200,0
1601,이화동,답십리4동,127.004338,37.577008,127.06125,37.567417,이화동답십리4동,6900,1380,0
1603,답십리3동,오류제2동,127.0512678,37.5717963,126.8395371,37.4888016,답십리3동오류제2동,34000,2760,0
1611,방화제3동,제기동,126.8135628,37.5787386,127.0378551,37.5831612,방화제3동제기동,29000,2400,0
1613,면목제4동,상도1동,127.0855775,37.5746736,126.953089,37.4981,면목제4동상도1동,19000,2040,0
1627,신정3동,제기동,126.8547892,37.5151685,127.0378551,37.5831612,신정3동제기동,26000,2760,0
1636,전농3동,반포3동,127.0600375,37.5781027,127.0056289,37.5120925,전농3동반포3동,11000,1260,0
1656,답십리4동,사직동,127.06125,37.567417,126.9688397,37.576196,답십리4동사직동,9700,1620,0
