start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
장위제1동,회기동,127.0437129,37.6141245,127.0553132,37.5908083,장위제1동회기동,4289,648.464,5600
면목제7동,상계1동,127.0869854,37.5789945,127.0549781,37.6799006,면목제7동상계1동,14493,1318.675,13700
정릉제3동,수유제3동,127.004186,37.6089578,127.023125,37.638715,정릉제3동수유제3동,4869,864.161,6200
고척제2동,은천동,126.8587122,37.5067055,126.9424278,37.4853086,고척제2동은천동,10247,1652.785,11000
회기동,장위제2동,127.0553132,37.5908083,127.0545206,37.6123899,회기동장위제2동,3778,598.639,5200
도화동,심곡본1동,126.9498798,37.5415123,126.7789446,37.4824389,도화동심곡본1동,22823,2231.952,22270
상봉제1동,신내2동,127.0872004,37.5998799,127.0942306,37.6061896,상봉제1동신내2동,1234,253.754,3800
여의동,돈암제2동,126.934584,37.5177232,127.0105659,37.598039,여의동돈암제2동,23131,1729.13,20000
구의제1동,능동,127.0856756,37.5424917,127.0804994,37.5537803,구의제1동능동,2462,400.044,4200
청운효자동,행당제1동,126.9706519,37.5841367,127.036188,37.558567,청운효자동행당제1동,8539,1373.62,9300
가산동,구로제4동,126.8917326,37.4769094,126.8891697,37.4916271,가산동구로제4동,2495,579.059,4600
영등포동,철산3동,126.9106918,37.5203985,126.8724885,37.4771336,영등포동철산3동,7642,1049.275,8610
남가좌제1동,남가좌제2동,126.9197232,37.573295,126.9238889,37.5784658,남가좌제1동남가좌제2동,1251,223.456,3800
가산동,한강로동,126.8917326,37.4769094,126.9692332,37.5281071,가산동한강로동,11654,1763.283,12500
능동,석관동,127.0804994,37.5537803,127.061413,37.612957,능동석관동,9592,1011.977,10100
일원1동,월곡제2동,127.0879629,37.491839,127.0478758,37.6057667,일원1동월곡제2동,21882,1572.714,19000
이태원제1동,신당제1동,126.9950384,37.5325225,,,이태원제1동신당제1동,0,0.0,0
등촌제3동,등촌제3동,126.847881,37.5589789,126.847881,37.5589789,등촌제3동등촌제3동,0,0.0,0
석관동,중계2.3동,127.061413,37.612957,127.0687126,37.6421829,석관동중계2.3동,4904,759.567,6500
하계1동,상봉제1동,127.0725852,37.6405374,127.0872004,37.5998799,하계1동상봉제1동,6012,937.482,7400
상봉제2동,상봉제1동,127.0808518,37.592892,127.0872004,37.5998799,상봉제2동상봉제1동,1338,264.101,3800
은천동,보라매동,126.9424278,37.4853086,126.9327389,37.4881456,은천동보라매동,1059,238.925,3800
안암동,삼선동,127.0213292,37.5858498,127.0146297,37.5908326,안암동삼선동,937,169.932,3800
하계1동,방학제1동,127.0725852,37.6405374,127.0407251,37.6641763,하계1동방학제1동,4757,847.738,6300
합정동,명동,126.9118888,37.5516561,126.98585,37.560042,합정동명동,12434,1425.917,12200
오류제1동,대림제3동,126.845201,37.497009,126.8980312,37.4983347,오류제1동대림제3동,6837,1000.931,8830
방학제1동,풍납2동,127.0407251,37.6641763,127.1157686,37.5292584,방학제1동풍납2동,22010,2895.895,19900
부암동,창신제1동,126.9641,37.5924785,127.016363,37.570758,부암동창신제1동,6819,1174.38,8500
장지동,명일제1동,127.1354,37.4785,127.1443656,37.5512453,장지동명일제1동,11279,1069.111,12150
하계2동,석관동,127.0679733,37.6320048,127.061413,37.612957,하계2동석관동,3929,765.696,5600
종암동,청운효자동,127.0351572,37.5990075,126.9706519,37.5841367,종암동청운효자동,11441,1172.566,11100
중계2.3동,상계6.7동,127.0687126,37.6421829,127.0669541,37.654882,중계2.3동상계6.7동,1871,417.518,3800
양재2동,과천동,127.041188,37.470601,126.9954261,37.4484318,양재2동과천동,5822,667.225,7150
가락본동,일원본동,127.1217864,37.4955568,127.0864633,37.4833484,가락본동일원본동,3681,552.979,5100
면목제5동,휘경제2동,127.079511,37.5857842,127.0685788,37.5902093,면목제5동휘경제2동,1434,223.91,3800
고척제1동,고척제1동,126.8628603,37.5004631,126.8628603,37.5004631,고척제1동고척제1동,0,0.0,0
삼성동,서원동,127.062532,37.5144424,126.9313,37.4797346,삼성동서원동,19262,1833.088,17200
성현동,둔촌제2동,126.9481271,37.4895366,127.1419221,37.5332885,성현동둔촌제2동,23827,2098.028,21100
목1동,일원본동,126.8712323,37.5303777,127.0864633,37.4833484,목1동일원본동,28626,2790.685,24800
면목제2동,서초1동,127.07905,37.589799,127.0195082,37.4901186,면목제2동서초1동,14657,2358.678,15300
창신제1동,휘경제2동,127.016363,37.570758,127.0685788,37.5902093,창신제1동휘경제2동,6608,981.406,7600
삼선동,충현동,127.0146297,37.5908326,126.9546863,37.5648265,삼선동충현동,9052,1120.563,9300
난향동,신정6동,126.918842,37.461429,126.8644471,37.5170414,난향동신정6동,11975,1676.968,13190
방배3동,회현동,126.9999918,37.4784409,126.9793216,37.5572864,방배3동회현동,11331,1117.049,10900
대림제3동,신정6동,126.8980312,37.4983347,126.8644471,37.5170414,대림제3동신정6동,5756,782.036,7000
잠실2동,양평제2동,127.088559,37.5119488,126.8939535,37.5364739,잠실2동양평제2동,22369,1503.033,19200
이문제3동,둔촌제2동,,,127.1419221,37.5332885,이문제3동둔촌제2동,0,0.0,0
세곡동,수서동,127.1043555,37.4643683,127.104929,37.4889181,세곡동수서동,3603,492.014,5200
북아현동,충현동,126.957025,37.5595,126.9546863,37.5648265,북아현동충현동,1013,171.0,3800
인헌동,중앙동,126.9652628,37.4750974,126.9497133,37.4842598,인헌동중앙동,1926,478.849,3800
쌍문제3동,회기동,127.0278643,37.6489775,127.0553132,37.5908083,쌍문제3동회기동,8883,1609.543,10000
청룡동,구산동,126.9416518,37.4791304,126.9103893,37.6117455,청룡동구산동,22540,2298.975,19800
연희동,구산동,126.9351754,37.5739083,126.9103893,37.6117455,연희동구산동,7361,1134.549,8300
망우본동,신내1동,127.1014684,37.6005732,127.099538,37.605882,망우본동신내1동,1569,280.782,3800
방학제1동,하계1동,127.0407251,37.6641763,127.0725852,37.6405374,방학제1동하계1동,4757,877.943,6500
성산제2동,서교동,126.9090061,37.568618,126.914588,37.5551015,성산제2동서교동,2189,405.309,4000
오류제2동,신원동,126.8395371,37.4888016,126.9273519,37.4815883,오류제2동신원동,10741,1350.0,12350
왕십리도선동,일신동,127.0255501,37.5678257,126.7469557,37.4845341,왕십리도선동일신동,37447,3282.325,32650
고척제2동,신정3동,126.8587122,37.5067055,126.8547892,37.5151685,고척제2동신정3동,2643,464.982,4300
개봉제2동,역곡3동,126.8565584,37.4908359,126.8068977,37.4784166,개봉제2동역곡3동,6431,965.829,7530
돈암제2동,교남동,127.0105659,37.598039,126.9619364,37.5719391,돈암제2동교남동,7742,1298.732,8400
은천동,서원동,126.9424278,37.4853086,126.9313,37.4797346,은천동서원동,4301,652.95,5500
신사제1동,역삼1동,126.9117735,37.5978445,127.0333574,37.4954841,신사제1동역삼1동,24128,2899.898,21800
대치1동,역삼1동,127.0567047,37.4931821,127.0333574,37.4954841,대치1동역삼1동,3334,492.374,4900
신대방제1동,독산제3동,126.91005,37.488943,126.9032524,37.4751198,신대방제1동독산제3동,2365,450.429,4000
상암동,서교동,126.8946875,37.578325,126.914588,37.5551015,상암동서교동,4005,650.387,5400
석촌동,역촌동,127.1037,37.503592,126.915114,37.6044046,석촌동역촌동,31271,2365.472,26400
중계2.3동,하계1동,127.0687126,37.6421829,127.0725852,37.6405374,중계2.3동하계1동,950,240.221,3800
가양제1동,부암동,126.8447099,37.5695239,126.9641,37.5924785,가양제1동부암동,16187,1822.749,15200
논현1동,상암동,127.028461,37.5115706,126.8946875,37.578325,논현1동상암동,21646,1550.137,19000
월계2동,신정7동,127.0508,37.6325377,126.8597007,37.514393,월계2동신정7동,27310,3272.26,26300
시흥제3동,대림제3동,126.9057945,37.4403095,126.8980312,37.4983347,시흥제3동대림제3동,7260,1261.014,9300
신대방제2동,구의제1동,126.9244085,37.4984422,127.0856756,37.5424917,신대방제2동구의제1동,21592,1913.011,19000
화곡제3동,탄현동,126.8384231,37.5425392,126.7684293,37.6943312,화곡제3동탄현동,26139,2112.3,25030
대학동,영등포동,126.9369907,37.4706145,126.9106918,37.5203985,대학동영등포동,7905,1288.784,9200
내곡동,광희동,127.0583103,37.4493583,127.0050623,37.564494,내곡동광희동,16282,1518.918,15400
오류제2동,고척제1동,126.8395371,37.4888016,126.8628603,37.5004631,오류제2동고척제1동,4411,790.065,6400
대림제3동,오류제1동,126.8980312,37.4983347,126.845201,37.497009,대림제3동오류제1동,6991,940.527,8190
길음제1동,서초2동,127.0193925,37.6104856,127.02496,37.49208,길음제1동서초2동,17405,2504.387,17900
역촌동,응암제3동,126.915114,37.6044046,126.9157268,37.5922474,역촌동응암제3동,2178,422.39,3900
성현동,서원동,126.9481271,37.4895366,126.9313,37.4797346,성현동서원동,4015,646.94,5400
신월2동,신정6동,126.8444512,37.5249763,126.8644471,37.5170414,신월2동신정6동,3696,511.759,5200
정릉제3동,영등포동,127.004186,37.6089578,126.9106918,37.5203985,정릉제3동영등포동,20747,1686.974,18200
상봉제1동,발산제1동,127.0872004,37.5998799,126.8331686,37.5531209,상봉제1동발산제1동,33948,3046.331,28000
가양제3동,흑석동,126.8605955,37.561092,126.966612,37.5058617,가양제3동흑석동,14961,1431.085,14400
월계2동,상계6.7동,127.0508,37.6325377,127.0669541,37.654882,월계2동상계6.7동,4220,673.672,5600
명동,목3동,126.98585,37.560042,126.8644431,37.5448009,명동목3동,22220,1540.953,19300
도봉제2동,명동,127.046575,37.669751,126.98585,37.560042,도봉제2동명동,17424,3225.535,19300
방학제1동,상계6.7동,127.0407251,37.6641763,127.0669541,37.654882,방학제1동상계6.7동,2923,550.404,4600
송천동,쌍문제3동,127.023838,37.618282,127.0278643,37.6489775,송천동쌍문제3동,4978,800.774,6400
방학제2동,신촌동,127.0351005,37.6681842,126.9418114,37.5640923,방학제2동신촌동,18402,3166.281,19300
발산제1동,목3동,126.8331686,37.5531209,126.8644431,37.5448009,발산제1동목3동,4736,704.845,5900
삼성2동,논현1동,127.04595,37.5112,127.028461,37.5115706,삼성2동논현1동,2141,408.82,4000
이태원제1동,상계6.7동,126.9950384,37.5325225,127.0669541,37.654882,이태원제1동상계6.7동,26594,1982.585,23000
상계8동,영등포동,127.0515874,37.6667854,126.9106918,37.5203985,상계8동영등포동,47328,2667.002,45030
발산제1동,화곡제6동,126.8331686,37.5531209,126.8501301,37.5518173,발산제1동화곡제6동,3304,518.642,4700
잠실7동,수서동,127.0771146,37.5086777,127.104929,37.4889181,잠실7동수서동,5218,637.417,6700
장안제2동,한강로동,127.0706,37.578483,126.9692332,37.5281071,장안제2동한강로동,16532,1496.593,14800
신길제6동,연희동,126.919437,37.498535,126.9351754,37.5739083,신길제6동연희동,11081,1659.45,11300
방배2동,삼성1동,126.9855106,37.4797439,127.062532,37.5144424,방배2동삼성1동,13416,1222.022,12600
둔촌제2동,번제1동,127.1419221,37.5332885,127.0288473,37.6378913,둔촌제2동번제1동,20824,2189.843,19300
면목제7동,종로1.2.3.4가동,127.0869854,37.5789945,126.9902618,37.574461,면목제7동종로1.2.3.4가동,12226,1852.676,12100
