,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,광명3동,비산3동,126.8569482,37.4802281,126.9455755,37.4040626,광명3동비산3동,15796,2429.216,18150
1,성산제2동,행신1동,126.9090061,37.568618,126.8359162,37.6223167,성산제2동행신1동,11807,1827.296,14430
2,목3동,수궁동,126.8644431,37.5448009,126.8314627,37.4939422,목3동수궁동,9274,1740.324,10400
3,사당제2동,노량진제1동,126.9792598,37.4887323,126.942013,37.512308,사당제2동노량진제1동,6328,1250.382,8300
4,삼성2동,증산동,127.04595,37.5112,126.9070404,37.5843063,삼성2동증산동,21216,4852.459,25400
5,여의동,개봉제2동,126.934584,37.5177232,126.8565584,37.4908359,여의동개봉제2동,8808,2231.687,13300
6,이문제3동,영종동,127.065075,37.6033571,126.5315335,37.4942488,이문제3동영종동,61163,5347.308,56070
7,신당제1동,남영동,127.0145478,37.5620973,126.9748403,37.5457586,신당제1동남영동,7471,1218.702,8600
8,길동,중화제1동,127.1426791,37.5345598,127.080623,37.6011745,길동중화제1동,12038,2197.063,15650
9,보라매동,길동,126.9327389,37.4881456,127.1426791,37.5345598,보라매동길동,26035,4239.736,31670
10,상계10동,명동,127.060225,37.661274,126.98585,37.560042,상계10동명동,18820,3277.037,20500
11,구로제3동,남영동,126.8903678,37.4873799,126.9748403,37.5457586,구로제3동남영동,11261,2068.708,12800
12,가산동,전농제2동,126.8917326,37.4769094,127.0600375,37.5781027,가산동전농제2동,24293,4802.826,25300
13,답십리제3동,하안2동,127.0512678,37.5717963,126.8747335,37.4647164,답십리제3동하안2동,34923,5319.033,34490
14,시흥제1동,상봉제1동,126.9032625,37.4535411,127.0872004,37.5998799,시흥제1동상봉제1동,30798,5566.343,30400
15,전농제2동,신촌동,127.0600375,37.5781027,126.9418114,37.5640923,전농제2동신촌동,12284,2613.873,15000
16,신내2동,하계1동,127.0942306,37.6061896,127.0725852,37.6405374,신내2동하계1동,5224,920.511,7000
17,월곡제1동,종암동,127.0357574,37.6105472,127.0351572,37.5990075,월곡제1동종암동,2973,662.716,4500
18,금호1가동,진접읍,127.0216354,37.5549008,127.1895841,37.7259104,금호1가동진접읍,34745,4993.753,35170
19,발산제1동,전농제2동,126.8331686,37.5531209,127.0600375,37.5781027,발산제1동전농제2동,28857,5488.167,30000
20,중곡제2동,중계본동,127.081487,37.560308,127.080338,37.64784,중곡제2동중계본동,12434,2195.497,14300
21,삼각산동,양재1동,127.0207209,37.6151568,127.026744,37.4716412,삼각산동양재1동,29766,4159.179,28200
