,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,장위제3동,명동,127.056603,37.6165512,126.98585,37.560042,장위제3동명동,12401,1825.466,13000
1,혜화동,명동,127.0005764,37.5869186,126.98585,37.560042,혜화동명동,5280,894.299,7000
2,망원제1동,명동,126.9055969,37.5556222,126.98585,37.560042,망원제1동명동,8771,1603.297,9900
3,천연동,명동,126.9590332,37.5711247,126.98585,37.560042,천연동명동,4041,727.247,5300
4,용산2가동,명동,126.9855777,37.5461327,126.98585,37.560042,용산2가동명동,2501,410.871,4500
5,왕십리제2동,명동,127.0310207,37.5617987,126.98585,37.560042,왕십리제2동명동,5215,966.862,6700
6,중곡제3동,명동,127.0801736,37.5688084,126.98585,37.560042,중곡제3동명동,11138,1926.41,12000
7,대림제2동,명동,126.8982938,37.4927521,126.98585,37.560042,대림제2동명동,12738,2088.343,13500
8,대치4동,명동,127.0579127,37.4997415,126.98585,37.560042,대치4동명동,17839,1967.064,16100
9,진건읍,명동,127.1777148,37.6546279,126.98585,37.560042,진건읍명동,36311,2657.719,35330
10,정릉제3동,동선동,127.004186,37.6089578,127.0203666,37.5939824,정릉제3동동선동,3808,746.826,5500
11,도화동,동선동,126.9498798,37.5415123,127.0203666,37.5939824,도화동동선동,10380,2505.973,14400
12,상봉제1동,동선동,127.0872004,37.5998799,127.0203666,37.5939824,상봉제1동동선동,7543,1351.449,8600
13,구의제1동,동선동,127.0856756,37.5424917,127.0203666,37.5939824,구의제1동동선동,11014,1869.832,11700
14,청운효자동,동선동,126.9706519,37.5841367,127.0203666,37.5939824,청운효자동동선동,10247,1663.21,11100
15,등촌제3동,동선동,126.847881,37.5589789,127.0203666,37.5939824,등촌제3동동선동,21759,3003.356,19800
16,안암동,동선동,127.0213292,37.5858498,127.0203666,37.5939824,안암동동선동,999,283.561,3800
17,종암동,동선동,127.0351572,37.5990075,127.0203666,37.5939824,종암동동선동,3729,579.32,5100
18,삼선동,동선동,127.0146297,37.5908326,127.0203666,37.5939824,삼선동동선동,1577,446.679,3800
19,대학동,동선동,126.9369907,37.4706145,127.0203666,37.5939824,대학동동선동,19544,3212.422,20100
20,내곡동,동선동,127.0583103,37.4493583,127.0203666,37.5939824,내곡동동선동,19473,2953.286,19400
21,송천동,동선동,127.023838,37.618282,127.0203666,37.5939824,송천동동선동,3658,586.282,5200
22,상계6.7동,동선동,127.0669541,37.654882,127.0203666,37.5939824,상계6.7동동선동,9273,1680.752,10700
23,공릉1.3동,동선동,127.073838,37.624874,127.0203666,37.5939824,공릉1.3동동선동,8152,1480.115,9700
24,동선동,동선동,127.0203666,37.5939824,127.0203666,37.5939824,동선동동선동,0,0.0,0
25,수서동,동선동,127.104929,37.4889181,127.0203666,37.5939824,수서동동선동,17117,2475.191,17800
26,쌍문제1동,동선동,127.0261145,37.6480275,127.0203666,37.5939824,쌍문제1동동선동,6769,1199.361,7700
27,번제2동,동선동,127.0387953,37.6323588,127.0203666,37.5939824,번제2동동선동,6001,1017.973,7300
28,신정3동,동선동,126.8547892,37.5151685,127.0203666,37.5939824,신정3동동선동,23738,3380.071,22000
29,시흥제1동,동선동,126.9032625,37.4535411,127.0203666,37.5939824,시흥제1동동선동,29960,3394.638,30210
30,마장동,동선동,127.045388,37.566325,127.0203666,37.5939824,마장동동선동,5656,1012.499,7100
31,회현동,동선동,126.9793216,37.5572864,127.0203666,37.5939824,회현동동선동,7111,2107.739,10600
32,종로1.2.3.4가동,동선동,126.9902618,37.574461,127.0203666,37.5939824,종로1.2.3.4가동동선동,4584,1356.265,8400
33,구의제2동,동선동,127.0899111,37.5472481,127.0203666,37.5939824,구의제2동동선동,9920,1718.218,10700
34,용강동,동선동,126.9426766,37.5422119,127.0203666,37.5939824,용강동동선동,11634,2638.05,14700
35,신정4동,동선동,126.8558042,37.5245455,127.0203666,37.5939824,신정4동동선동,22870,3176.327,21100
36,서초4동,동선동,127.0221589,37.5026685,127.0203666,37.5939824,서초4동동선동,13698,2520.824,15500
37,창제4동,동선동,127.0515994,37.6522276,127.0203666,37.5939824,창제4동동선동,8400,1362.293,9500
38,중계4동,동선동,127.0780091,37.6587275,127.0203666,37.5939824,중계4동동선동,9921,1855.201,11500
39,암사제1동,동선동,127.132663,37.551508,127.0203666,37.5939824,암사제1동동선동,15010,2355.18,15600
40,독산제1동,동선동,126.897041,37.4702453,127.0203666,37.5939824,독산제1동동선동,23149,3614.814,24000
41,대조동,동선동,126.920813,37.614165,127.0203666,37.5939824,대조동동선동,12372,1889.192,12700
42,진관동,동선동,126.9210512,37.634983,127.0203666,37.5939824,진관동동선동,14658,2265.292,15100
43,공덕동,동선동,126.960025,37.550192,127.0203666,37.5939824,공덕동동선동,9493,2375.121,14000
44,장충동,동선동,127.0078812,37.5618946,127.0203666,37.5939824,장충동동선동,4484,1561.238,6400
45,역삼2동,동선동,127.0468034,37.4959674,127.0203666,37.5939824,역삼2동동선동,12788,2435.73,15100
46,정릉제2동,동선동,127.0111047,37.6044729,127.0203666,37.5939824,정릉제2동동선동,2701,675.078,4400
47,성내제2동,동선동,127.129563,37.532425,127.0203666,37.5939824,성내제2동동선동,14199,2369.005,15000
48,답십리제2동,동선동,127.06125,37.567417,127.0203666,37.5939824,답십리제2동동선동,6600,1073.17,8300
49,장위제2동,동선동,127.0545206,37.6123899,127.0203666,37.5939824,장위제2동동선동,5798,905.739,7100
50,종로5.6가동,동선동,127.0050414,37.5720148,127.0203666,37.5939824,종로5.6가동동선동,3981,846.921,5600
51,중계1동,동선동,127.0775275,37.6525986,127.0203666,37.5939824,중계1동동선동,9090,1691.073,10800
52,화곡제4동,동선동,126.8609068,37.5346476,127.0203666,37.5939824,화곡제4동동선동,21761,3017.52,19900
