no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,승차시간,배차시간,오전,오후,예정시간
7582,중형승합,2018-01-16,2018-01-16 오전 1:01:25,2018-01-16 오전 1:12:39,성북구,보문동,성북구,석관동,2018-01-16 01:12:39,2018-01-16 01:01:25,0:00:00,0:00:00,0:00:00
9556,중형승합,2018-01-16,2018-01-16 오전 1:08:46,2018-01-16 오전 1:26:10,성북구,보문동,성북구,석관동,2018-01-16 01:26:10,2018-01-16 01:08:46,0:00:00,0:00:00,0:00:00
9563,중형승합,2018-02-09,2018-02-09 오전 10:58:51,2018-02-09 오전 11:18:01,양천구,신정3동,강서구,발산제1동,2018-02-09 11:18:01,2018-02-09 10:58:51,0:00:00,0:00:00,0:00:00
1073,중형승합,2018-02-09,2018-02-09 오전 10:52:49,2018-02-09 오전 11:07:03,중구,중림동,종로구,무악동,2018-02-09 11:07:03,2018-02-09 10:52:49,0:00:00,0:00:00,0:00:00
9550,중형승합,2018-02-09,2018-02-09 오전 11:15:16,2018-02-09 오전 11:24:55,중랑구,신내2동,성남시중원구,성남동,2018-02-09 11:24:55,2018-02-09 11:15:16,0:00:00,0:00:00,0:00:00
5807,중형승합,2018-02-09,2018-02-09 오전 10:36:10,2018-02-09 오전 10:44:47,강서구,발산제1동,중랑구,상봉제1동,2018-02-09 10:44:47,2018-02-09 10:36:10,0:00:00,0:00:00,0:00:00
5773,승합,2018-02-09,2018-02-09 오전 11:23:12,2018-02-09 오전 11:50:43,중랑구,신내1동,광진구,구의제2동,2018-02-09 11:50:43,2018-02-09 11:23:12,0:00:00,0:00:00,0:00:00
1560,중형승합,2018-02-09,2018-02-09 오전 10:33:03,2018-02-09 오전 11:14:08,강동구,상일동,송파구,풍납1동,2018-02-09 11:14:08,2018-02-09 10:33:03,0:00:00,0:00:00,0:00:00
7633,중형승합,2018-02-09,2018-02-09 오전 11:18:31,2018-02-09 오전 11:37:39,강동구,강일동,강동구,길동,2018-02-09 11:37:39,2018-02-09 11:18:31,0:00:00,0:00:00,0:00:00
6200,중형승용,2018-02-09,2018-02-09 오전 11:16:57,2018-02-09 오전 11:34:36,관악구,인헌동,강남구,논현1동,2018-02-09 11:34:36,2018-02-09 11:16:57,0:00:00,0:00:00,0:00:00
6200,중형승용,2018-02-09,2018-02-09 오전 10:25:57,2018-02-09 오전 10:52:49,동작구,신대방제2동,관악구,성현동,2018-02-09 10:52:49,2018-02-09 10:25:57,0:00:00,0:00:00,0:00:00
5847,중형승합,2018-02-09,2018-02-09 오전 10:40:59,2018-02-09 오전 11:10:07,강북구,수유제2동,남양주시,별내면,2018-02-09 11:10:07,2018-02-09 10:40:59,0:00:00,0:00:00,0:00:00
1109,중형승합,2018-02-09,2018-02-09 오전 11:03:15,2018-02-09 오전 11:21:42,관악구,은천동,서대문구,신촌동,2018-02-09 11:21:42,2018-02-09 11:03:15,0:00:00,0:00:00,0:00:00
5813,중형승합,2018-02-09,2018-02-09 오전 10:58:48,2018-02-09 오전 11:12:09,노원구,상계1동,종로구,사직동,2018-02-09 11:12:09,2018-02-09 10:58:48,0:00:00,0:00:00,0:00:00
7819,중형승합,2018-03-28,2018-03-28 오전 12:11:44,2018-03-28 오전 12:39:06,관악구,신림동,강서구,등촌제3동,2018-03-28 00:39:06,2018-03-28 00:11:44,0:00:00,0:00:00,0:00:00
1601,중형승합,2018-03-05,2018-03-05 오전 12:04:54,2018-03-05 오전 12:25:38,용산구,청파동,금천구,시흥제1동,2018-03-05 00:25:38,2018-03-05 00:04:54,0:00:00,0:00:00,0:00:00
5804,중형승합,2018-03-04,2018-03-04 오전 12:42:50,2018-03-04 오전 1:07:56,광진구,화양동,노원구,중계2.3동,2018-03-04 01:07:56,2018-03-04 00:42:50,0:00:00,0:00:00,0:00:00
9548,중형승합,2018-04-26,2018-04-26 오전 1:02:39,2018-04-26 오전 1:35:23,종로구,혜화동,동작구,노량진제1동,2018-04-26 01:35:23,2018-04-26 01:02:39,0:00:00,0:00:00,0:00:00
7654,중형승합,2018-04-22,2018-04-22 오전 12:56:08,2018-04-22 오전 1:31:47,영등포구,여의동,금천구,가산동,2018-04-22 01:31:47,2018-04-22 00:56:08,0:00:00,0:00:00,0:00:00
5805,중형승합,2018-04-10,2018-04-10 오전 12:07:30,2018-04-10 오전 12:23:10,성북구,안암동,금천구,독산제1동,2018-04-10 00:23:10,2018-04-10 00:07:30,0:00:00,0:00:00,0:00:00
