carno,outrange
6063,0
6734,0
5942,0
4985,1
8218,1
1268,1
8056,1
8199,1
6784,1
8293,2
8207,2
3253,2
9995,2
8257,2
6754,2
6786,3
8084,3
2191,3
8253,3
8017,3
3218,4
8248,4
8275,4
3934,4
8193,4
3658,4
3641,4
3599,4
8174,5
3260,5
3123,5
8296,5
8144,5
2238,5
6152,6
3269,6
9632,8
4102,8
8024,8
5563,8
8219,8
3634,8
3213,9
6746,13
8129,13
8290,14
7918,14
3443,15
5808,16
704874,16
1434,16
4409,18
704895,18
3410,19
3236,19
5860,19
8336,19
1455,19
8213,20
5806,21
6782,23
4183,23
2232,24
3618,24
5825,27
8284,27
8205,27
8250,27
4017,27
5832,27
6750,28
6779,28
8251,29
5833,30
6775,30
704852,31
1415,31
9146,31
3212,31
704855,31
2869,31
8420,32
1412,32
6752,33
8192,33
9164,34
8262,35
3154,35
8028,35
6773,36
4654,36
6764,36
6749,37
6772,37
2784,37
6753,38
8079,38
704881,39
6776,39
1441,39
704858,40
8086,41
1418,41
5859,42
6771,42
8711,42
8057,42
3711,42
6756,42
6774,43
8198,43
5852,44
5843,44
5853,44
5835,44
8153,44
6781,44
3133,44
5821,44
1425,45
3438,45
704865,45
3715,45
6770,46
704859,46
1419,46
5819,47
6741,47
5856,48
704888,48
1448,48
1414,49
704854,49
6742,50
3924,50
704868,50
1428,50
5818,50
3871,50
6176,50
5851,51
704870,51
4870,51
8053,52
704871,52
9147,52
1431,52
6472,52
704886,53
5827,53
5445,53
3625,54
99991,54
8243,56
8197,57
5829,57
4967,59
5688,59
1611,59
1458,60
8258,60
3276,60
3233,60
1159,60
5809,60
704898,60
3183,63
8149,63
8266,63
5849,63
5854,63
5824,64
3289,64
3692,65
8185,65
3239,65
5816,66
8214,67
1447,67
704887,67
5850,68
5847,68
6521,69
8658,70
8268,70
8247,71
5801,71
3837,72
1433,73
704873,73
6780,74
5848,75
3607,75
3682,75
5780,76
8013,76
1631,77
2885,78
9152,78
8263,79
3562,80
3705,80
5465,81
3616,81
3645,81
3359,82
3681,82
3601,84
5831,85
8252,86
3657,86
8200,86
8166,86
5441,87
5774,87
9148,88
5769,88
5473,89
5444,89
8058,89
1628,90
3587,90
9151,90
8215,90
5440,90
1634,90
4994,91
9817,91
5770,91
8228,91
5468,92
3612,92
5439,93
5471,93
1621,93
3190,93
9145,94
5455,94
5452,95
9020,95
5776,95
1617,96
7701,96
3206,96
1607,97
3673,97
6027,97
8217,98
5855,98
5768,98
1633,98
5460,99
1602,99
8019,100
8026,100
8206,102
5820,102
8202,102
8068,102
9149,102
8256,103
8061,103
1630,104
4843,104
9163,104
5841,104
5846,104
5457,105
5436,105
8240,106
5467,106
5767,106
5435,106
5766,107
3829,107
1627,108
5839,109
5763,109
5466,110
4744,111
5474,111
5771,111
5773,112
8159,112
7369,113
8272,113
9157,113
3674,113
4978,113
5453,113
8037,114
5442,114
8022,114
5464,114
5446,115
3627,115
8072,115
8259,116
3710,116
9143,116
8012,117
8249,117
5462,117
1620,118
8254,119
8015,119
5782,119
5814,119
5822,120
3684,120
5810,120
5842,121
5840,121
5454,121
8261,122
8176,122
9140,122
1614,123
3254,123
8291,123
3216,123
5775,124
8211,124
1622,124
5811,124
3610,124
5765,125
8209,125
5857,126
3609,126
8274,127
9158,127
6966,128
8062,128
8210,129
5844,129
8035,129
3589,130
3586,130
4331,131
9161,131
8145,131
5836,131
8295,132
3565,132
5802,132
3596,132
3617,133
1625,133
8167,133
8567,133
5823,135
5781,136
5459,136
5458,137
8195,138
5472,138
5779,139
5463,139
5456,139
7573,140
8260,140
5828,140
5451,140
3604,142
8154,142
8038,143
8196,143
8271,143
8003,143
8136,144
4794,144
5812,145
9141,145
5443,146
8151,146
1605,146
5449,147
5447,147
5778,147
4966,148
3323,148
3568,149
5837,149
1603,149
5815,150
8011,150
3574,151
5804,152
3594,152
3223,153
5461,153
5723,153
8239,154
7634,154
4854,155
4992,155
5845,155
