y_hour,cluster
12,2
8,0
7,0
8,0
8,0
3,1
8,0
8,0
8,0
8,0
3,1
6,0
8,0
8,0
7,0
7,0
7,0
6,0
8,0
7,0
8,0
7,0
8,0
8,0
3,1
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
2,3
7,0
8,0
7,0
8,0
8,0
5,1
8,0
8,0
7,0
7,0
8,0
7,0
3,1
7,0
7,0
8,0
7,0
7,0
2,3
8,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
3,1
7,0
7,0
8,0
8,0
7,0
7,0
7,0
7,0
7,0
6,0
7,0
7,0
7,0
7,0
8,0
7,0
7,0
8,0
8,0
7,0
7,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
6,0
7,0
7,0
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
3,1
7,0
8,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
5,1
5,1
7,0
8,0
7,0
8,0
7,0
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
5,1
7,0
7,0
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
7,0
7,0
5,1
7,0
8,0
7,0
5,1
7,0
7,0
7,0
1,3
7,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
7,0
7,0
5,1
7,0
5,1
6,0
6,0
5,1
7,0
7,0
7,0
7,0
7,0
5,1
5,1
7,0
7,0
5,1
5,1
7,0
5,1
7,0
7,0
5,1
7,0
5,1
7,0
8,0
7,0
7,0
7,0
7,0
5,1
5,1
7,0
7,0
8,0
7,0
7,0
5,1
5,1
5,1
7,0
7,0
5,1
5,1
7,0
7,0
5,1
5,1
7,0
8,0
5,1
7,0
5,1
7,0
7,0
7,0
8,0
8,0
5,1
7,0
7,0
5,1
7,0
5,1
8,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
2,3
7,0
7,0
7,0
7,0
7,0
8,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
4,1
7,0
4,1
7,0
7,0
8,0
5,1
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
5,1
5,1
7,0
4,1
7,0
7,0
7,0
4,1
7,0
8,0
5,1
7,0
8,0
7,0
7,0
7,0
7,0
4,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
8,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
8,0
7,0
7,0
7,0
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
7,0
7,0
4,1
7,0
8,0
7,0
8,0
9,2
7,0
7,0
8,0
5,1
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
7,0
11,2
4,1
5,1
3,1
9,2
12,2
7,0
8,0
7,0
3,1
5,1
5,1
7,0
7,0
7,0
4,1
4,1
9,2
7,0
7,0
7,0
1,3
7,0
4,1
7,0
7,0
7,0
8,0
5,1
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
8,0
4,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
4,1
7,0
7,0
7,0
4,1
8,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
7,0
9,2
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
7,0
7,0
7,0
5,1
9,2
9,2
7,0
7,0
7,0
5,1
4,1
7,0
8,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
5,1
7,0
7,0
4,1
5,1
7,0
4,1
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
2,3
5,1
7,0
5,1
7,0
7,0
7,0
7,0
1,3
7,0
7,0
7,0
1,3
7,0
9,2
10,2
7,0
7,0
7,0
7,0
7,0
7,0
5,1
4,1
3,1
7,0
12,2
7,0
7,0
7,0
7,0
7,0
10,2
7,0
5,1
7,0
7,0
7,0
7,0
9,2
10,2
7,0
4,1
2,3
7,0
7,0
7,0
1,3
4,1
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
4,1
7,0
7,0
8,0
7,0
7,0
9,2
9,2
3,1
7,0
7,0
5,1
7,0
7,0
8,0
4,1
7,0
7,0
5,1
7,0
5,1
7,0
7,0
7,0
7,0
7,0
4,1
7,0
7,0
7,0
7,0
4,1
7,0
4,1
7,0
5,1
7,0
7,0
7,0
3,1
7,0
9,2
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
4,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
8,0
9,2
7,0
5,1
7,0
7,0
7,0
7,0
9,2
7,0
5,1
7,0
8,0
7,0
7,0
7,0
7,0
7,0
7,0
5,1
3,1
5,1
8,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
9,2
4,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
4,1
7,0
7,0
8,0
7,0
7,0
5,1
7,0
7,0
7,0
7,0
7,0
5,1
2,3
5,1
7,0
7,0
7,0
7,0
5,1
5,1
7,0
7,0
5,1
5,1
7,0
3,1
7,0
10,2
7,0
7,0
7,0
7,0
7,0
7,0
2,3
7,0
7,0
8,0
7,0
7,0
5,1
4,1
7,0
3,1
7,0
7,0
7,0
5,1
7,0
1,3
4,1
8,0
7,0
7,0
7,0
7,0
8,0
1,3
4,1
3,1
5,1
7,0
3,1
7,0
5,1
2,3
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
4,1
5,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
12,2
6,0
6,0
6,0
7,0
6,0
6,0
6,0
7,0
6,0
6,0
6,0
4,1
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
3,1
6,0
