,startpos2
하계1동,7263
등촌제3동,6429
가양제2동,5120
가양제1동,4616
월계2동,4582
상계1동,4372
세곡동,4314
성산제2동,4133
수서동,4059
오류제2동,3987
번제3동,3739
중계2.3동,3533
신내2동,3527
중계4동,3311
장지동,3258
공릉1.3동,3236
발산제1동,3128
양재1동,2901
상도제1동,2727
가양제3동,2695
하계2동,2681
삼성동,2650
도봉제2동,2598
번제2동,2586
방화제3동,2504
종암동,2488
길동,2477
삼선동,2458
북아현동,2329
삼각산동,2325
월계3동,2311
상암동,2299
홍은제2동,2285
연희동,2251
성현동,2229
송중동,2193
신정3동,2161
방화제2동,2157
망우본동,2144
독산제1동,2073
신정7동,2069
역촌동,2067
신내1동,2063
홍제제3동,2032
강일동,1952
남가좌제2동,1890
월계1동,1876
시흥제1동,1859
이태원제1동,1850
방학제1동,1840
용문동,1818
시흥제2동,1800
신촌동,1776
구산동,1768
대림제3동,1759
진관동,1757
은천동,1742
성산제1동,1721
면목제2동,1682
신대방제2동,1653
행당제2동,1632
홍은제1동,1621
부암동,1619
대방동,1560
면목제4동,1533
둔촌제2동,1508
쌍문제4동,1496
고척제1동,1489
상계3.4동,1489
신사제1동,1488
공릉2동,1478
길음제1동,1478
상봉제1동,1469
신당제3동,1450
도화동,1448
신길제3동,1426
명일제1동,1425
일원1동,1425
상도제2동,1417
가락본동,1406
상계10동,1392
면목제7동,1387
응암제3동,1386
구로제4동,1386
잠실2동,1375
중곡제4동,1358
천호제1동,1351
이촌제1동,1350
상계6.7동,1345
신정4동,1344
왕십리도선동,1342
행운동,1341
방화제1동,1318
오금동,1299
영등포동,1297
합정동,1294
양평제1동,1288
공항동,1287
우장산동,1287
신대방제1동,1284
묵제1동,1275
잠원동,1274
수색동,1260
답십리제4동,1258
난향동,1256
압구정동,1252
수유제3동,1250
천호제3동,1245
홍제제1동,1236
개봉제1동,1229
후암동,1226
흑석동,1218
암사제1동,1216
화곡제4동,1212
상계8동,1208
금호1가동,1202
거여1동,1191
삼양동,1182
쌍문제3동,1181
방이2동,1177
난곡동,1169
신설동,1162
고척제2동,1147
독산제3동,1141
중계1동,1135
화곡본동,1131
장안제3동,1127
화곡제6동,1127
마장동,1110
논현2동,1108
구로제3동,1107
청룡동,1105
천호제2동,1095
잠실본동,1074
송천동,1066
남영동,1061
개봉제2동,1051
창제3동,1046
논현1동,1040
구로제2동,1035
가산동,1032
화곡제1동,1015
사당제3동,1014
반포2동,992
불광제1동,979
방학제2동,971
공덕동,963
회현동,958
상계2동,954
역삼1동,945
방배2동,942
방배3동,941
인헌동,938
인수동,925
녹번동,925
신월2동,922
황학동,917
창제5동,913
거여2동,898
도봉제1동,890
일원본동,887
명동,880
이문제3동,880
응암제2동,880
일원2동,871
상계9동,871
방학제3동,869
암사제3동,866
구로제5동,863
서강동,860
장안제1동,849
잠실3동,845
시흥제3동,841
홍제제2동,841
월곡제1동,838
낙성대동,837
정릉제3동,836
풍납2동,827
영등포본동,823
마천2동,822
장위제1동,810
명륜3가동,806
신길제4동,800
상도제3동,792
대학동,789
사당제2동,781
답십리제2동,779
상일동,773
신월1동,770
