,y_ym
2020-04,6972
2019-01,6972
2020-02,6972
2022-04,6972
2018-05,6972
2018-06,6972
2018-07,6972
2018-08,6972
2018-09,6972
2018-10,6972
2018-11,6972
2018-12,6972
2019-02,6972
2022-02,6972
2019-03,6972
2019-04,6972
2019-05,6972
2019-06,6972
2019-07,6972
2019-08,6972
2019-09,6972
2019-10,6972
2019-11,6972
2022-01,6972
2019-12,6972
2022-05,6972
2020-01,6972
2021-02,6972
2022-03,6972
2020-05,6972
2020-06,6972
2020-07,6972
2020-08,6972
2020-09,6972
2020-10,6972
2020-11,6972
2020-03,6972
2021-01,6972
2020-12,6972
2021-03,6972
2021-04,6972
2021-05,6972
2021-06,6972
2021-07,6972
2021-08,6972
2021-09,6972
2021-10,6972
2021-11,6972
2021-12,6972
2018-01,6970
2018-04,6969
2018-03,6969
2018-02,6960
2022-06,6185
