,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2
0,5695,중형승합,2021-09-02 오전 12:03:00,2021-09-02 오전 12:29:20,2021-09-02 오전 12:48:56,은평구,녹번동,고양시일산동구,식사동
1,8103,중형승합,2021-09-02 오전 12:16:00,2021-09-01 오후 11:47:28,2021-09-01 오후 11:52:52,남양주시,호평동,노원구,중계4동
2,8075,중형 승합,2021-09-02 오전 12:57:00,2021-09-02 오전 12:59:27,2021-09-02 오전 1:23:48,관악구,삼성동,관악구,은천동
3,7625,중형승합,2021-09-02 오전 1:25:00,2021-09-02 오전 1:32:19,2021-09-02 오전 1:43:22,강남구,대치4동,도봉구,도봉제2동
4,1552,중형 승합,2021-09-02 오전 2:34:00,2021-09-02 오전 2:40:41,2021-09-02 오전 2:57:26,광진구,구의제1동,광진구,화양동
5,8075,중형 승합,2021-09-02 오전 2:59:00,2021-09-02 오전 3:06:28,2021-09-02 오전 3:19:13,관악구,은천동,관악구,은천동
6,8064,중형 승합,2021-09-02 오전 3:05:00,2021-09-02 오전 3:11:15,2021-09-02 오전 3:30:18,관악구,행운동,서대문구,충현동
7,1572,중형 승합,2021-09-02 오전 3:17:31,2021-09-02 오전 3:22:19,2021-09-02 오전 3:40:22,마포구,합정동,강서구,가양제3동
8,7658,중형승합,2021-09-02 오전 3:23:00,2021-09-02 오전 3:47:38,2021-09-02 오전 4:23:02,강서구,가양제2동,영등포구,여의동
9,8103,중형승합,2021-09-02 오전 3:40:20,2021-09-02 오전 3:53:56,2021-09-02 오전 4:12:44,도봉구,도봉제2동,서대문구,홍제제2동
10,4986,중형 승합,2021-09-02 오전 3:48:00,2021-09-02 오전 3:56:35,2021-09-02 오전 4:21:02,서대문구,연희동,마포구,성산제2동
11,1554,중형 승합,2021-09-02 오전 3:51:00,2021-09-02 오전 3:59:30,2021-09-02 오전 4:11:24,중랑구,묵제1동,강동구,둔촌제2동
12,6374,중형 승합,2021-09-02 오전 3:57:04,2021-09-02 오전 4:02:27,2021-09-02 오전 4:25:21,금천구,독산제3동,관악구,청룡동
13,1572,중형 승합,2021-09-02 오전 4:06:00,2021-09-02 오전 4:11:07,2021-09-02 오전 4:37:29,금천구,시흥제2동,중구,광희동
14,7846,중형 승합,2021-09-02 오전 4:19:00,2021-09-02 오전 4:28:21,2021-09-02 오전 4:49:51,중랑구,면목제5동,동대문구,휘경제2동
15,7598,중형승합,2021-09-02 오전 4:22:00,2021-09-02 오전 4:34:56,2021-09-02 오전 4:51:38,노원구,중계2.3동,성북구,월곡제1동
16,7864,중형승합,2021-09-02 오전 4:22:56,2021-09-02 오전 4:29:49,2021-09-02 오전 4:39:19,노원구,중계4동,노원구,하계1동
17,4840,중형 승합,2021-09-02 오전 4:25:54,2021-09-02 오전 4:38:20,2021-09-02 오전 4:51:44,노원구,하계1동,도봉구,방학제1동
18,7658,중형승합,2021-09-02 오전 4:30:00,2021-09-02 오전 4:35:11,2021-09-02 오전 5:01:20,관악구,삼성동,관악구,서원동
19,4986,중형 승합,2021-09-02 오전 4:32:00,2021-09-02 오전 4:38:36,2021-09-02 오전 4:58:24,서대문구,홍은제2동,서대문구,충현동
20,1554,중형 승합,2021-09-02 오전 4:34:00,2021-09-02 오전 4:53:46,2021-09-02 오전 5:27:26,노원구,하계1동,중랑구,중화제1동
21,1182,중형승합,2021-09-02 오전 4:42:00,2021-09-02 오전 4:52:05,2021-09-02 오전 5:12:56,송파구,오금동,송파구,잠실2동
22,8075,중형 승합,2021-09-02 오전 4:55:59,2021-09-02 오전 5:02:19,2021-09-02 오전 5:10:16,영등포구,대림제3동,광명시,철산3동
23,4986,중형 승합,2021-09-02 오전 5:00:33,2021-09-02 오전 5:21:48,2021-09-02 오전 5:48:36,은평구,수색동,영등포구,당산제1동
24,6374,중형 승합,2021-09-02 오전 5:06:00,2021-09-02 오전 5:10:24,2021-09-02 오전 5:41:54,영등포구,영등포본동,동작구,신대방제1동
25,8103,중형승합,2021-09-02 오전 5:10:00,2021-09-02 오전 4:50:41,2021-09-02 오전 5:24:15,도봉구,쌍문제3동,동대문구,회기동
26,7592,중형승합,2021-09-02 오전 5:10:00,2021-09-02 오전 4:41:32,2021-09-02 오전 5:05:11,노원구,하계2동,성북구,석관동
27,5695,중형승합,2021-09-02 오전 5:10:00,2021-09-02 오전 4:44:40,2021-09-02 오전 5:15:49,서대문구,북아현동,서대문구,충현동
