교통약자이동지원센터명,소재지도로명주소,소재지지번주소,위도,경도,보유차량대수,보유차량종류,슬로프형휠체어차량대수,리프트형휠체어차량대수,예약접수전화번호,예약접수인터넷주소,앱서비스명,평일예약접수운영시작시각,평일예약접수운영종료시각,주말예약접수운영시작시각,주말예약접수운영종료시각,차량평일운행시작시각,차량평일운행종료시각,차량주말운행시작시각,차량주말운행종료시각,사전예약신청기간,차량이용제한사항,차량관내운행지역,차량관외운행지역,차량이용대상,차량이용요금,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
완도군 개인택시 지부(위탁),완도군 완도읍 개포로130번길 15,전라남도 완도군 완도읍 군내리 1233-5,34.318879,126.7445341,4,승합,4,0,1899-1110,전남광역콜 앱,,8:00,23:00,8:00,23:00,8:00,23:00,8:00,23:00,1일전,,,,"장애정도가 심한 장애인,임산부,사고질병 등 일시적 휄체어 이용자,등",500원,완도군,061-550-5580,2020.1.1,4990000,전라남도 완도군
고양시 교통약자이동지원센터,경기도 고양시 일산동구 강송로 14,경기도 고양시 일산동구 백석동 1233,37.64247907,126.7953758,78,승합(중형)+카니발(저상장애인차),76,2,1577-5909,x,x,6:00,22:00,9:00,18:00,0:00,23:59,0:00,23:59,10:00~ (인접지역 외 광역이동에 한하여 전날 사전예약),월 3회이상 즉시차량 배차 후 이용신청 취소시+월 3회이상 차량도착 후 10분 내 미승차시+이용자 및 보호자가 상담원 및 운전원에게 폭언폭행성희롱 신체접촉 등으로 업무를 방해한 경우 등,관내 전지역,강서구+마포구+서대문구+은평구+영등포구+서울역+계양구+인천국제공항+의정부+파주+양주+김포+부천,①장애인1-2급중 보행상장애표준기준표상의 1-2급 해당자 + ②버스- 지하철 이용이 어려운 만65세이상 노인장기요양등급 1-2급 수급자 + ③교통약자를 동반하는 가족 및 보호자 + ④사고-질병 등 일시적 장애로 휠체어 이용이 불가피하다는 해당 전문의의 진단서를 제출한 사람은 장애등급 발급 기간동안 3개월 내 한시적 이용 가능,기본 10km 1300원 /추가 5km당 100원,고양도시관리공사,031-932-0661,2021.9.27,3940000,경기도 고양시
경북지체장애인협회 봉화군지회,경상북도 봉화군 봉화읍 내성천2길 93,경상북도 봉화군 봉화읍 내성리 361-1,36.89365762,128.737331,4,카니발,2,0,054-673-4747,없음,,9:00,18:00,0:00,0:00,9:00,18:00,0:00,0:00,7일,비장애인만 승차하는 경우+주말 차량운행 안함,봉화군 전지역,경상북도+대구광역시+태백시,중증장애1~2급+재가등급+만65세이상노약자(의사소견서첨부)+임산부,"10km 1,000원+10km초과 시 km당 200원 추가+고속도로(유로도로) 통행료는 이용자 부담",경상북도 봉화군청,054-679-6292,2021.9.28,5240000,경상북도 봉화군
(사)강원도지체장애인협회 평창군지회,강원도 평창군 진부면 진벌1길 144-19,강원도 평창군 진부면 상진부리 245-23,37.65292724,128.5711924,5,그랜드카니발+4세대카니발,5,0,1577-2014,http://call.gwd.go.kr,강원도교통약자광역이동지원센터,9:00,18:00,9:00,18:00,7:00,22:00,9:00,18:00,7일,"1. 다음의 경우 해당 배차일로부터 10일간 이용제한    1) 운전원은 이용자가 지정한 출발지에 도착한 후, 3번 이상의 전화로 확인을        할 수 있으며 이후 승차하지 않을 경우(3회 이상)    2) 이용시 사전 연락 없이 목적지 변경 또는 이용신청을 취소한 경우(3회 이상)    3) 지정된 목적지외 다른 장소를 경유하는 경우    4) 신청 등록시 대상자와 승차인원이 다르거나, 증빙서류의 누락 또는 사실과      다른 경우(2",평창군 전역,강원도 전역,"중증장애인+보행상 이동이 불편한 자+65세 이상의 사람으로서 대중교통의 이용이 어려운 사람+임산부+강원도 교통약자 광역이동지원센터(이하 광역센터)에 임시등록이 된 사람(타지 이용객)+제1호부터 제3호까지에 해당하는 이용대상자를 동반하는 보호자 1인(가족, 요양보호사, 활동보조인, 복지시설직원 등)+일시적으로 휠체어를 이용하는 사람+국가유공자","관내(4km까지 1,100원, 추가 1km당 100원추가)+관외(4km까지 1,100원, 추가 1km당 100원추가)+대기료(1시간무료, 30분당 2천원, 수급자 톨비면제)",평창군청,033-330-2356,2021.9.15,4280000,강원도 평창군
사)충남지체장애인협회 당진시지회,충청남도 당진시 백암1길 61,충청남도 당진시 채운동 170-2,36.88724061,126.6247065,14,"카니발,그랜드스타렉스",12,2,1644-5588,http://corona19.dangjin.go.kr/,,0:00,23:59,0:00,23:59,8:00,19:00,9:00,17:00,7일,,당진시 전지역,"서울,대전,인천,충북,경기도","장애등급 1급 또는 2급 장애인, 호흡기, 자폐, 정신, 지적, 1,2급에 해당하는 장애인으로써 대중교통수단의 이용이 어려운 사람 (그외 목발, 휠체어등 보장구를 사용하는 장애인) 제2조제1항에 따른 3급에 해당하는 장애인중 뇌병변 장애 또는 하지에 장애가 있는 지체장애인. 65세 이상자 중 휠체어 또는 보조기구를 이용하는 대중교통수단 등의 이용이 어려운 사람.  일시적으로 휠체어를 이용하는 사람.  차량이용시 이용자1인  보호자1인 이용가능","관내-기본요금 2km : 1.400원      -추가요금 :130원/1km      -관내 최대요금:3,200원관외-km당 260원      -대기료 1시간당 4,000원      -(병원진료시 최대 3시간)      -왕복통행료(편도,왕복)      -주차료 발생시 주차비",당진시 교통과,041-350-4523,2021.9.23,5680000,충청남도 당진시
양평군교통약자이동지원센터,경기도 양평군 양평읍 마유산로 9,경기도 양평군 양평읍 양근리 540-1,37.49776189,127.4871469,27,장애인카니발,24,0,1899-8268,http://ypcall.or.kr,인터넷예약시스템,9:00,18:00,9:00,18:00,8:00,21:00,8:00,21:00,이용2일전,관내 1일 4건까지 이용 가능+관외 1달 2건(왕복)까지 이용 가능,양평군 전지역,경기도 전역+서울특별시+강원도(홍천군+횡성군+원주시),장애정도가 심한장애인+일시장애+고령자+임산부 등,기본요금 1500원(10km 이내)+추가요금 100원(5km 추가 시),경기도 양평군청 교통과,031-770-3762,2021.12.21,4170000,경기도 양평군
제천시 특별교통수단 이동지원센터,충청북도 제천시 내토로 73길 22,충청북도 제천시 고암동 145-13,37.171529,128.242342,11,카니발+스타렉스,10,0,043-644-5553,해당없음,,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,1일,보호자 동반,관내 전체,원주+충주+단양+영월,장애정도가 심한 장애인+일시적 휠체어 이용자,일반택시 미터기의 50원,제천시지체장애인협회,043-644-0860,2021.12.14,4400000,충청북도 제천시
영천시교통약자이동지원센터,경상북도 영천시 천문로 210-7,경상북도 영천시 금노동 372-16,35.957177,128.932791,7,승합,0,7,1899-7770,http://www.brmcall.co.kr,,8:30,18:00,8:30,18:00,9:00,18:00,9:00,18:00,7일전 예약,개인목적 영천출발만 가능 병원 통학목적 왕복 가능,영천시 전지역,경상북도 내+대구광역시,영천시 교통약자의 이동편의 증진에 관한 조례에 따른 교통약자,기본요금(5km까지) 1400원+기본요금 1400원 추가 1km당 200원,경북지체장애인협회 영천시지회,054-337-4422,2021.12.21,5100000,경상북도 영천시
신안군교통약자이동지원센터,전남 목포시 수강로3번길 14,전남 목포시 만호동 3-4,34.7841922,126.3821013,4,창림저상슬로프장애인차(3대)+뉴원카니발장애인차(1대),4,0,1899-1110,해당없음,전남광역승객용 앱,10:00,18:00,10:00,18:00,7:00,19:00,7:00,19:00,이용 1일전,관외 이용시 1일전 예약,신안군 관내,전남+광주광역시,장애의 정도가 심한장애인 중 대중교통 이용이 어려운자+65세이상으로 대중교통 이용이 어려운자+일시적 휠체어 이용자+대중교통 이용이 어려운 임산부+이용대상자를 동반하는 보호자,기본요금 2km 500원+추가요금 1km당 100원 ※상한액 : (관내) 시·군내버스요금/(관외) 시외버스 요금,전라남도 신안군,061-240-8158,2021.12.23,5010000,전라남도 신안군
교통약자 특별교통수단,경상남도 통영시 북문2길 43-16,경상남도 통영시 정량동 162-5,34.84996554,128.4293738,20,그랜드스타렉스,0,20,1566-4488,해당없음,,0:00,23:59,0:00,23:59,0:00,23:59,0:00,23:59,1일,,경상남도,부산광역시,중증장애1~2급+만65세이상노약자(의사소견서첨부)+임산부,"기본요금 1400원+143m당 50원 추가 (단, 시내버스요금의 2배 이내)",경상남도 통영시,055-650-5314,2022.1.24,5330000,경상남도 통영시
