,예정시간,배차시간,승차시간,distance,duration,taxiFare,배차-예정,승차-배차,승차-예정,y_b_time,b_s_time,y_s_time,y_b_seconds,b_s_seconds,y_s_seconds,y_b_days,b_s_days,y_s_days
78659,2018-11-06 23:37:37,2018-11-07 7:00:00,2018-11-07 7:52:22,15450,2213.62,15500,52,945,997,0 days 00:52:22,5 days 15:45:15,5 days 16:37:37,3142,56715,59857,0,5,5
79161,2018-11-04 23:45:14,2018-11-05 7:00:00,2018-11-05 7:33:37,8467,1460.117,9600,33,972,1005,0 days 00:33:37,5 days 16:11:37,5 days 16:45:14,2017,58297,60314,0,5,5
187472,2020-01-22 7:06:00,2020-01-22 7:20:12,2020-01-22 8:20:13,2178,422.39,3900,14,60,74,0 days 01:14:13,3 days 22:59:59,4 days 00:14:12,852,3601,4453,0,3,4
187473,2020-01-22 7:06:00,2020-01-22 7:52:15,2020-01-22 8:05:13,31075,3316.361,30170,46,13,59,0 days 00:59:13,3 days 23:47:02,4 days 00:46:15,2775,778,3553,0,3,4
187474,2020-01-22 7:07:00,2020-01-22 7:25:40,2020-01-22 8:09:05,2326,493.224,4100,18,44,62,0 days 01:02:05,3 days 23:16:35,4 days 00:18:40,1120,2605,3725,0,3,4
187475,2020-01-22 7:07:00,2020-01-22 7:11:31,2020-01-22 7:30:11,9301,1633.049,10700,4,19,23,0 days 00:23:11,3 days 23:41:20,4 days 00:04:31,271,1120,1391,0,3,4
187476,2020-01-22 7:08:00,2020-01-22 7:17:10,2020-01-22 7:51:19,7538,941.754,8850,9,34,43,0 days 00:43:19,3 days 23:25:51,4 days 00:09:10,550,2049,2599,0,3,4
200156,2020-03-05 23:58:42,2020-03-06 8:08:12,2020-03-06 8:10:00,12418,1603.842,14510,2,948,950,0 days 00:01:48,5 days 15:48:42,5 days 15:50:30,108,56922,57030,0,5,5
221568,2020-06-11 23:36:02,2020-06-12 7:39:00,2020-06-12 9:01:01,1478,294.255,4600,82,875,957,0 days 01:22:01,3 days 14:35:01,3 days 15:57:02,4921,52501,57422,0,3,3
234784,2020-07-22 7:28:00,2020-07-22 7:42:32,2020-07-22 8:47:41,2801,633.752,5270,14,65,79,0 days 01:19:41,31 days 22:54:51,32 days 00:14:32,872,3909,4781,0,31,32
237270,2020-08-24 7:32:00,2020-08-24 7:36:47,2020-08-24 8:19:35,45458,2902.912,45450,4,43,47,0 days 00:47:35,5 days 23:17:12,6 days 00:04:47,287,2568,2855,0,5,6
237274,2020-08-24 7:35:00,2020-08-24 8:08:55,2020-08-30 7:36:42,23178,1888.314,19900,1,32,33,0 days 00:33:55,5 days 23:27:47,6 days 00:01:42,102,1933,2035,0,5,6
242504,2020-08-06 7:20:00,2020-08-06 7:22:23,2020-08-06 8:39:56,33628,1968.013,33970,2,77,79,0 days 01:19:56,44 days 22:42:27,45 days 00:02:23,143,4653,4796,0,44,45
244722,2020-09-18 23:56:01,2020-09-19 8:57:00,2020-09-19 9:06:03,23953,1338.828,26990,9,890,899,0 days 00:09:03,5 days 14:49:58,5 days 14:59:01,543,53398,53941,0,5,5
252967,2020-10-24 0:33:00,2020-10-24 0:33:58,2020-10-24 5:52:34,20274,2392.009,17900,0,319,319,0 days 00:00:58,1 days 05:18:36,1 days 05:19:34,58,19116,19174,0,1,1
256937,2020-10-05 7:33:00,2020-10-05 7:35:13,2020-10-05 7:40:53,45458,2902.912,45450,2,5,7,0 days 00:02:13,6 days 00:05:40,6 days 00:07:53,133,340,473,0,6,6
256942,2020-10-05 7:35:00,2020-10-05 7:38:13,2020-10-05 7:48:44,5808,883.314,7350,3,10,13,0 days 00:03:13,6 days 00:10:31,6 days 00:13:44,193,631,824,0,6,6
256944,2020-10-05 7:35:00,2020-10-05 7:35:13,2020-10-05 8:03:47,6296,922.18,7000,0,28,28,0 days 00:28:47,5 days 23:31:26,6 days 00:00:13,13,1714,1727,0,5,6
259683,2020-11-24 7:26:00,2020-11-24 7:28:51,2020-11-24 7:43:32,4213,512.103,6490,2,15,17,0 days 00:17:32,5 days 23:45:19,6 days 00:02:51,171,881,1052,0,5,6
268894,2020-12-02 7:45:32,2020-12-02 7:47:41,2020-12-02 8:33:28,29311,3252.99,26700,2,46,48,0 days 00:02:09,14 days 00:45:47,14 days 00:47:56,129,2747,2876,0,14,14
281591,2021-02-04 7:31:45,2021-02-04 7:35:33,2021-02-04 7:53:28,4854,872.581,6400,4,18,22,0 days 00:21:43,7 days 23:42:05,8 days 00:03:48,228,1075,1303,0,7,8
281594,2021-02-04 7:33:00,2021-02-04 7:37:41,2021-02-04 7:55:17,22312,1864.631,23390,4,18,22,0 days 00:04:41,8 days 00:17:36,8 days 00:22:17,281,1056,1337,0,8,8
283590,2021-02-14 7:44:55,2021-02-14 7:46:13,2021-02-14 7:53:52,24204,2698.208,24750,2,7,9,0 days 00:01:18,2 days 00:07:39,2 days 00:08:57,78,459,537,0,2,2
286577,2021-02-21 7:35:59,2021-02-21 7:36:02,2021-02-21 7:46:08,12785,1416.973,11900,1,10,11,0 days 00:00:03,2 days 00:10:06,2 days 00:10:09,3,606,609,0,2,2
286578,2021-02-21 7:36:00,2021-02-21 7:36:19,2021-02-21 8:08:15,31433,3197.054,31870,0,32,32,0 days 00:00:19,2 days 00:31:56,2 days 00:32:15,19,1916,1935,0,2,2
289563,2021-03-04 7:26:00,2021-03-04 7:26:44,2021-03-04 7:40:52,1000,240,0,0,14,14,0 days 00:14:52,9 days 23:45:52,10 days 00:00:44,44,848,892,0,9,10
289566,2021-03-04 7:28:40,2021-03-04 7:30:31,2021-03-04 7:49:40,12413,1520.571,12000,2,19,21,0 days 00:21:00,9 days 23:40:51,10 days 00:01:51,111,1149,1260,0,9,10
290313,2021-03-15 7:24:00,2021-03-15 7:27:30,2021-03-15 7:32:48,15940,1053.945,17370,3,5,8,0 days 00:03:30,14 days 00:05:18,14 days 00:08:48,210,318,528,0,14,14
293789,2021-03-19 7:32:00,2021-03-19 7:32:06,2021-03-19 7:36:33,2326,493.224,4100,0,4,4,0 days 00:04:33,1 days 23:55:33,2 days 00:00:06,6,267,273,0,1,2
293799,2021-03-19 7:34:00,2021-03-19 7:40:24,2021-03-19 7:49:00,42323,3255.912,40610,6,9,15,0 days 00:06:24,2 days 00:08:36,2 days 00:15:00,384,516,900,0,2,2
297772,2021-04-05 7:25:00,2021-04-05 7:40:45,2021-04-05 7:43:54,1000,240,0,15,3,18,0 days 00:18:54,5 days 23:56:51,6 days 00:15:45,945,189,1134,0,5,6
