통계시군구명,등록장애인수,년도
강남구,15385,201808
강동구,17360,201808
강북구,17474,201808
강서구,28732,201808
관악구,20237,201808
광진구,12552,201808
구로구,17466,201808
금천구,11114,201808
노원구,27448,201808
도봉구,15345,201808
동대문구,15901,201808
동작구,14546,201808
마포구,13218,201808
서대문구,12591,201808
서초구,10733,201808
성동구,11877,201808
성북구,17371,201808
송파구,19901,201808
양천구,17273,201808
영등포구,14336,201808
용산구,8107,201808
은평구,21459,201808
종로구,5993,201808
중구,5672,201808
중랑구,20092,201808
강남구,15364,201809
강동구,17338,201809
강북구,17479,201809
강서구,28745,201809
관악구,20235,201809
광진구,12572,201809
구로구,17501,201809
금천구,11103,201809
노원구,27459,201809
도봉구,15371,201809
동대문구,15889,201809
동작구,14577,201809
마포구,13216,201809
서대문구,12620,201809
서초구,10736,201809
성동구,11903,201809
성북구,17388,201809
송파구,19895,201809
양천구,17279,201809
영등포구,14343,201809
용산구,8098,201809
은평구,21496,201809
종로구,5999,201809
중구,5658,201809
중랑구,20097,201809
강남구,15167,202109
강동구,18596,202109
강북구,17441,202109
강서구,28646,202109
관악구,20197,202109
광진구,12281,202109
구로구,18362,202109
금천구,11452,202109
노원구,27067,202109
도봉구,15294,202109
동대문구,15575,202109
동작구,14462,202109
마포구,12938,202109
서대문구,12362,202109
서초구,10376,202109
성동구,11348,202109
성북구,17401,202109
송파구,20340,202109
양천구,17539,202109
영등포구,14533,202109
용산구,7766,202109
은평구,21724,202109
종로구,5936,202109
중구,5611,202109
중랑구,20349,202109
강남구,15168,202108
강동구,18632,202108
강북구,17458,202108
강서구,28641,202108
관악구,20216,202108
광진구,12288,202108
구로구,18362,202108
금천구,11437,202108
노원구,27106,202108
도봉구,15292,202108
동대문구,15591,202108
동작구,14511,202108
마포구,12942,202108
서대문구,12380,202108
서초구,10418,202108
성동구,11375,202108
성북구,17410,202108
송파구,20367,202108
양천구,17572,202108
영등포구,14560,202108
용산구,7790,202108
은평구,21753,202108
종로구,5957,202108
중구,5633,202108
중랑구,20341,202108
강남구,15344,201908
강동구,17442,201908
강북구,17471,201908
강서구,28862,201908
관악구,20300,201908
광진구,12543,201908
구로구,17948,201908
금천구,11315,201908
노원구,27323,201908
도봉구,15438,201908
동대문구,15802,201908
동작구,14702,201908
마포구,13127,201908
서대문구,12628,201908
서초구,10531,201908
성동구,11739,201908
성북구,17633,201908
송파구,20192,201908
양천구,17403,201908
영등포구,14454,201908
용산구,8059,201908
은평구,21618,201908
종로구,6055,201908
중구,5701,201908
중랑구,20290,201908
강남구,15365,201909
강동구,17447,201909
강북구,17506,201909
강서구,28866,201909
관악구,20330,201909
광진구,12570,201909
구로구,18013,201909
금천구,11330,201909
노원구,27327,201909
도봉구,15435,201909
동대문구,15787,201909
동작구,14693,201909
마포구,13127,201909
서대문구,12628,201909
서초구,10533,201909
성동구,11710,201909
성북구,17646,201909
송파구,20246,201909
양천구,17399,201909
영등포구,14466,201909
용산구,8040,201909
은평구,21611,201909
종로구,6055,201909
중구,5704,201909
중랑구,20337,201909
강남구,15242,202009
강동구,18173,202009
강북구,17488,202009
강서구,28806,202009
관악구,20295,202009
광진구,12421,202009
구로구,18322,202009
금천구,11419,202009
노원구,27274,202009
도봉구,15432,202009
동대문구,15735,202009
동작구,14644,202009
마포구,13012,202009
서대문구,12567,202009
서초구,10529,202009
성동구,11515,202009
성북구,17576,202009
송파구,20319,202009
양천구,17579,202009
영등포구,14464,202009
용산구,8003,202009
은평구,21775,202009
종로구,6026,202009
중구,5704,202009
중랑구,20425,202009
강남구,15256,202008
강동구,18168,202008
강북구,17532,202008
강서구,28794,202008
관악구,20297,202008
광진구,12426,202008
구로구,18282,202008
금천구,11411,202008
노원구,27336,202008
도봉구,15434,202008
동대문구,15726,202008
동작구,14681,202008
마포구,13032,202008
서대문구,12551,202008
서초구,10537,202008
성동구,11559,202008
성북구,17604,202008
송파구,20311,202008
양천구,17572,202008
영등포구,14448,202008
용산구,8015,202008
은평구,21775,202008
종로구,6043,202008
중구,5715,202008
중랑구,20428,202008
강남구,15260,202005
강동구,18064,202005
강북구,17557,202005
강서구,28862,202005
관악구,20280,202005
광진구,12469,202005
구로구,18210,202005
금천구,11380,202005
노원구,27329,202005
도봉구,15456,202005
동대문구,15758,202005
동작구,14672,202005
마포구,13115,202005
서대문구,12581,202005
