title,저자,발행기관,발행연도,핵심어
교통약자의 이동편의 향상을 위한 국내외 정책사례,김태호(Tae-Ho Kim),대한토목학회,2012,
배리어프리 환경 조성을 위한 정책 및 환경요소의 중요도 평가,김종진,대한교통학회,2012,
도로입체화시설의 정책방향연구,김숙희,대한교통학회,2012,
야외휴양시설 유니버설 디자인 적용방안,이주희,숲과 문화 연구회,2012,
교통약자를 위한 경로안내도 디자인,이호숭(Lee Ho Soong),한국디자인학회,2012,"['경로안내도', '관광지 접근성', '교통약자', '판독성', '지도디자인', 'route guidance map', 'tour accessibility', 'mobilityhandicapped', 'legibility', 'cartography']"
행동유도성(affordance)을 기반으로 한 부산 도심 버스정류장(bus bay)의 고찰,"권태정(Kwon, Tae Jung)",한국도시설계학회,2012,"['도심 버스정류장', '행동유도성', '계층화분석', 'Urban Bus Bay', 'Affordance', 'AHP(Analytical Hierarchy Process)']"
통계문헌을 활용한 교통약자의 유형별 정의 및 전망,김태호,대한교통학회,2012,
영구임대아파트 외부 커뮤니티공간의 교통약자 접근성 연구                      = A Study on Accessibility of Impeditive mover to Outdoor Community Space in Apartment Complexes for Permanent rental,박선아(Sun A Park),한국생활과학회(KOREAN LIVING SCIENCE ASSOCIATION),2012,
스마트 카의 통합 안전 제어기술                      = Integrated Vehicle Safety Control Systems for Smart Cars,이경수,에스케이텔레콤 (주),2012,"['Smart vehicle', 'Integrated vehicle safety control systems', 'Active safety', 'Driver assistance', '스마트자동차', '통합안전제어시스템', '능동안전', '운전자 지원']"
교통약자를 위한 소형버스의 탑승구 디자인,이정현(Jung-Hyun Lee),한국생산제조학회,2012,"['The mobility handicapped(교통약자)', 'Small buses(소형버스)', 'Wheelchair(휠체어)', 'Ramp(램프)']"
장애인 · 노인 · 임산부 등의 편의증진보장에 관한 법률 제정사,차성안(車城安),서울대 사회보장법연구회,2012,"['장애인·노인·임산부 등의 편의증진보장에 관한 법률', '편의시설', '편의증진', '접근권', '이동권', '입법과정', '교통약자의 이동편의증진법', 'the Act on Accommodation Promotion of the Disabled', 'the Elderly and Pregnant Women', 'Access Enhancement Facility', 'Access Right', 'Mobility right', 'Act making process', 'the Mobility Enhancement for the Mobility Impaired Act.']"
지킴이 서비스를 위한 교통약자 인식장치 적정배치및 위험도 평가에 관한 연구                      = A Study on Optimum Allocation and Risk Assessment of Recognition Devices Intendedfor the Mobility Handicapped in Terms of the Guardian Services,한웅구,한국ITS학회,2012,"['The mobility handicapped', 'Recognition devices', 'Comprehensive risk']"
2010 교통문화지수(TCI) 모형검증 및 함의,"차용진(Cha, Yong-jin)",경기연구원,2012,"['교통문화지수', '신뢰도', '타당도', '확인적 요인분석', '고차요인분석', 'transport culture index', 'reliability', 'validity', 'confirmatory factor analysis', 'higher order factor analysis']"
교통약자에 대한 여객서비스 개선을 위한 도우미 시스템 개발                      = Development of Public Transportation Support System for Improved Passenger Service,송용수,대한전기학회,2012,
교통약자를 위한 자동차 기술                      = 고령 운전자를 중심으로,"손준우(Son, Joonwoo)",한국자동차공학회,2012,
국회 소속 민간근로자 호봉제 도입 방안 연구,김유선,한국노동사회연구소,2012,
도시철도 환승역사의 상하이동시설에 대한 이용자의 편의 고찰,황보현,대한교통학회,2011,
"부산, 약자친화디자인 본격 도입이 필요",김영하,부산연구원,2011,
교통약자의 유형별 이동편의시설 만족도 분석에 관한 연구   :                         경산시를 사례로                                = Study on Transportation Handicapped’s Satisfaction Level of Transportation Facilities - A Case Study of Gyeongsan City,윤대식(Yun,한국지역사회학회,2011,"['Transportion Handicapped', 'Transportion Facilities', 'Satisfaction Level', 'Gyeongsan City']"
AHP분석을 통한 Barrier Free 인증 기준 개선 방안에 관한 연구,신강원,대한교통학회,2011,
공정한 국토ㆍ지역발전을 위한 정책과제,문정호,한국지방정부학회(The Korean Association for Local Government Studies),2011,"['공정사회', '국토ㆍ지역정책', '갈등관리', '손실보상']"
주관적 운전부하 수준과 PG기법 적용효과의 관계                      = The Relationship between Subjective Driving Workload and Effects of PG Technology,오주석,대한교통학회,2011,"['PG기법', '주관적 운전부하', '주행속도', '도로이용자 만족도', '운전시뮬레이터', 'PG technology', 'Subjective driving workload', 'Driving speed', ""Road user's satisfaction"", 'Driving simulator']"
일반인과 교통약자의 도시철도 역사의 보행시설 이용에 관한 비교분석 (Comparative Analysis of the Use of a Pedestrian Facility for Non-Mobility Handicapped and Mobility Handicapped in Urban Rail Station),황보현(Hyun Hwang-Bo),한국철도학회,2011,
공정한 국토·지역발전을 위한 정책과제,문정호,한국지방정부학회,2011,"['공정사회', '국토·지역정책', '갈등관리', '손실보상']"
승합차의 램프 디자인과 제작을 위한 이종재료의 접합,이정현(Jung-Hyun Lee),한국생산제조학회,2011,"['Disabled and elderly(교통약자)', 'Wheelchair(휠체어)', 'Ramp(램프)', 'Nd:YAG Laser(Nd:YAG레이저)', 'Dissimilar welding(이종 용접)']"
한국의 공익개념 연구   :                         공익관련 법률내용 분석을 중심으로                                = A Study on the Concept of Public Interest in Korea: Focus on the Content Analysis of Law Related to Public Interest,이계만(李啓滿),한국정책과학학회,2011,"['공익', '공익개념', '공익과정론', 'Public Interest', 'Concept of Public Interest', 'Processional Theory of Public Interest']"
대중교통 문제점에 따른 교통선진화 방안 제시에 관한 연구,고동봉,대한교통학회,2011,
보행교통량에 따른 회전교차로 설치 타당성 분석,문주백,대한교통학회,2011,
시각장애인용 지능형 보행안내 시스템 설계,"이중엽(Lee, Joong-Yeub)",인제대학교 디자인연구소,2011,"['지능형 보행 시스템', '시각장애인', 'Smart-Walk System', 'RFID', 'Blinded']"
