,no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2
0,3689,중형 승합,2021-09-01 오전 12:12:00,2021-09-01 오전 1:03:13,2021-09-01 오전 1:36:49,종로구,종로5.6가동,양주시,회천1동
1,1305,중형승합,2021-09-01 오전 12:27:00,2021-09-01 오전 1:04:26,2021-09-01 오전 1:32:35,광진구,자양제2동,성동구,송정동
2,8231,중형승합,2021-09-01 오전 1:47:43,2021-09-01 오전 1:53:19,2021-09-01 오전 2:09:28,마포구,합정동,강서구,가양제3동
3,8239,중형승합,2021-09-01 오전 2:33:00,2021-09-01 오전 2:41:55,2021-09-01 오전 3:15:49,성동구,금호1가동,중랑구,면목제3.8동
4,7652,중형승합,2021-09-01 오전 2:50:00,2021-09-01 오전 2:58:21,2021-09-01 오전 3:12:06,강서구,방화제3동,강서구,발산제1동
5,7905,중형승합,2021-09-01 오전 3:25:00,2021-09-01 오전 3:32:46,2021-09-01 오전 3:50:31,강북구,삼양동,노원구,중계2.3동
6,7652,중형승합,2021-09-01 오전 3:29:00,2021-09-01 오전 3:36:54,2021-09-01 오전 3:46:54,강서구,발산제1동,강서구,방화제3동
7,8231,중형승합,2021-09-01 오전 3:31:28,2021-09-01 오전 3:39:40,2021-09-01 오전 3:55:04,영등포구,영등포본동,광명시,하안2동
8,7632,중형승합,2021-09-01 오전 3:40:00,2021-09-01 오전 3:44:06,2021-09-01 오전 3:55:57,중랑구,면목제2동,서초구,서초1동
9,7625,중형승합,2021-09-01 오전 3:47:00,2021-09-01 오전 3:52:31,2021-09-01 오전 4:05:47,노원구,중계4동,광진구,화양동
10,7659,중형승합,2021-09-01 오전 3:57:27,2021-09-01 오전 4:02:45,2021-09-01 오전 4:13:15,금천구,독산제3동,관악구,청룡동
11,5737,중형승합,2021-09-01 오전 3:59:00,2021-09-01 오전 4:01:16,2021-09-01 오전 4:21:49,강북구,번제3동,강서구,공항동
