startpos1,예정시간_년월,startpos1
강남구,201801,398
강남구,201802,325
강남구,201803,342
강남구,201804,316
강남구,201805,332
강남구,201806,302
강남구,201807,359
강남구,201808,380
강남구,201809,374
강남구,201810,363
강남구,201811,362
강남구,201812,331
강남구,201901,362
강남구,201902,349
강남구,201903,318
강남구,201904,280
강남구,201905,300
강남구,201906,288
강남구,201907,334
강남구,201908,374
강남구,201909,365
강남구,201910,381
강남구,201911,370
강남구,201912,414
강남구,202001,391
강남구,202002,399
강남구,202003,350
강남구,202004,326
강남구,202005,400
강남구,202006,413
강남구,202007,391
강남구,202008,393
강남구,202009,341
강남구,202010,367
강남구,202011,338
강남구,202012,359
강남구,202101,377
강남구,202102,346
강남구,202103,325
강남구,202104,375
강남구,202105,376
강남구,202106,385
강남구,202107,424
강남구,202108,414
강남구,202109,359
강남구,202110,385
강남구,202111,338
강남구,202112,417
강남구,202201,408
강남구,202202,357
강남구,202203,397
강남구,202204,380
강남구,202205,410
강남구,202206,331
강동구,201801,235
강동구,201802,229
강동구,201803,244
강동구,201804,224
강동구,201805,255
강동구,201806,278
강동구,201807,254
강동구,201808,283
강동구,201809,290
강동구,201810,291
강동구,201811,261
강동구,201812,275
강동구,201901,347
강동구,201902,273
강동구,201903,274
강동구,201904,211
강동구,201905,225
강동구,201906,238
강동구,201907,223
강동구,201908,268
강동구,201909,266
강동구,201910,316
강동구,201911,261
강동구,201912,279
강동구,202001,323
강동구,202002,309
강동구,202003,341
강동구,202004,345
강동구,202005,340
강동구,202006,346
강동구,202007,331
강동구,202008,333
강동구,202009,305
강동구,202010,312
강동구,202011,353
강동구,202012,293
강동구,202101,350
강동구,202102,284
강동구,202103,278
강동구,202104,314
강동구,202105,358
강동구,202106,316
강동구,202107,344
강동구,202108,362
강동구,202109,296
강동구,202110,300
강동구,202111,284
강동구,202112,282
강동구,202201,326
강동구,202202,318
강동구,202203,397
강동구,202204,258
강동구,202205,293
강동구,202206,261
강북구,201801,285
강북구,201802,260
강북구,201803,283
강북구,201804,279
강북구,201805,289
강북구,201806,281
강북구,201807,284
강북구,201808,308
강북구,201809,276
강북구,201810,336
강북구,201811,320
강북구,201812,347
강북구,201901,302
강북구,201902,266
강북구,201903,337
강북구,201904,269
강북구,201905,284
강북구,201906,284
강북구,201907,303
강북구,201908,314
강북구,201909,281
강북구,201910,337
강북구,201911,307
강북구,201912,305
강북구,202001,360
강북구,202002,319
강북구,202003,329
강북구,202004,308
강북구,202005,355
강북구,202006,311
강북구,202007,318
강북구,202008,322
강북구,202009,314
강북구,202010,349
강북구,202011,364
강북구,202012,381
강북구,202101,376
강북구,202102,342
강북구,202103,368
강북구,202104,362
강북구,202105,421
강북구,202106,366
강북구,202107,359
강북구,202108,341
강북구,202109,377
강북구,202110,378
강북구,202111,367
강북구,202112,398
강북구,202201,376
강북구,202202,335
강북구,202203,411
강북구,202204,392
강북구,202205,389
강북구,202206,292
강서구,201801,696
강서구,201802,620
강서구,201803,673
강서구,201804,717
강서구,201805,678
강서구,201806,650
강서구,201807,708
강서구,201808,722
강서구,201809,697
강서구,201810,677
강서구,201811,650
강서구,201812,673
강서구,201901,641
강서구,201902,652
강서구,201903,779
강서구,201904,769
강서구,201905,752
강서구,201906,698
강서구,201907,691
강서구,201908,661
강서구,201909,605
강서구,201910,635
강서구,201911,633
강서구,201912,634
강서구,202001,633
강서구,202002,682
강서구,202003,676
강서구,202004,635
강서구,202005,686
강서구,202006,639
강서구,202007,672
강서구,202008,653
강서구,202009,641
강서구,202010,708
강서구,202011,654
강서구,202012,678
강서구,202101,669
강서구,202102,671
강서구,202103,773
강서구,202104,717
강서구,202105,729
강서구,202106,720
강서구,202107,689
강서구,202108,675
강서구,202109,660
강서구,202110,747
강서구,202111,759
강서구,202112,793
강서구,202201,815
강서구,202202,749
강서구,202203,826
강서구,202204,845
강서구,202205,787
강서구,202206,639
과천시,201807,2
과천시,201808,2
과천시,202101,1
과천시,202108,1
관악구,201801,403
관악구,201802,355
관악구,201803,461
관악구,201804,417
관악구,201805,437
관악구,201806,423
관악구,201807,447
관악구,201808,373
관악구,201809,398
관악구,201810,435
관악구,201811,412
관악구,201812,385
관악구,201901,427
관악구,201902,322
관악구,201903,352
관악구,201904,415
관악구,201905,405
관악구,201906,397
관악구,201907,427
관악구,201908,462
관악구,201909,386
관악구,201910,376
관악구,201911,397
관악구,201912,381
관악구,202001,369
관악구,202002,316
관악구,202003,334
관악구,202004,327
관악구,202005,318
관악구,202006,282
관악구,202007,299
관악구,202008,317
관악구,202009,342
관악구,202010,369
