startpos1,예정시간_년월,taxiFare_I
강남구,201801,6190000
강남구,201802,5289100
강남구,201803,5454300
강남구,201804,4917600
강남구,201805,5709500
강남구,201806,5168400
강남구,201807,5915400
강남구,201808,6057700
강남구,201809,6602300
강남구,201810,6107300
강남구,201811,6361800
강남구,201812,5445600
강남구,201901,5826200
강남구,201902,5751900
강남구,201903,4915500
강남구,201904,4569100
강남구,201905,5303200
강남구,201906,5246800
강남구,201907,5975900
강남구,201908,6416500
강남구,201909,6956200
강남구,201910,6936800
강남구,201911,6862900
강남구,201912,7409900
강남구,202001,6981500
강남구,202002,6667200
강남구,202003,5354600
강남구,202004,5718900
강남구,202005,7419200
강남구,202006,8073800
강남구,202007,7124000
강남구,202008,7238600
강남구,202009,6815400
강남구,202010,7250200
강남구,202011,6498400
강남구,202012,6892800
강남구,202101,6450400
강남구,202102,5870000
강남구,202103,5675600
강남구,202104,6901500
강남구,202105,6731600
강남구,202106,7341800
강남구,202107,7459500
강남구,202108,7473000
강남구,202109,6731300
강남구,202110,6902300
강남구,202111,6089200
강남구,202112,7008800
강남구,202201,6759400
강남구,202202,5914300
강남구,202203,6539300
강남구,202204,6358800
강남구,202205,6820100
강남구,202206,5888300
강동구,201801,3558400
강동구,201802,3672600
강동구,201803,3805300
강동구,201804,3673500
강동구,201805,4177700
강동구,201806,4342200
강동구,201807,4041500
강동구,201808,4252900
강동구,201809,4903700
강동구,201810,4194400
강동구,201811,3893100
강동구,201812,4068400
강동구,201901,5103100
강동구,201902,3871600
강동구,201903,4261300
강동구,201904,3358800
강동구,201905,3545200
강동구,201906,4145500
강동구,201907,3366700
강동구,201908,4279800
강동구,201909,4656100
강동구,201910,5035700
강동구,201911,4213800
강동구,201912,4043200
강동구,202001,4937100
강동구,202002,4200000
강동구,202003,4617800
강동구,202004,4796000
강동구,202005,4897000
강동구,202006,4555600
강동구,202007,4267300
강동구,202008,5101800
강동구,202009,4079200
강동구,202010,4403800
강동구,202011,5179900
강동구,202012,4177000
강동구,202101,4691500
강동구,202102,3602700
강동구,202103,3695800
강동구,202104,4379200
강동구,202105,4878200
강동구,202106,4186100
강동구,202107,4490900
강동구,202108,4650000
강동구,202109,4009200
강동구,202110,3817200
강동구,202111,3534000
강동구,202112,3674100
강동구,202201,3914900
강동구,202202,4307300
강동구,202203,4650700
강동구,202204,3529900
강동구,202205,4375800
강동구,202206,3934200
강북구,201801,3867500
강북구,201802,3729600
강북구,201803,4101600
강북구,201804,4090800
강북구,201805,3860800
강북구,201806,3744600
강북구,201807,3544900
강북구,201808,3924300
강북구,201809,3906600
강북구,201810,4624300
강북구,201811,4042500
강북구,201812,4020500
강북구,201901,3869000
강북구,201902,3610000
강북구,201903,4201300
강북구,201904,3607000
강북구,201905,3825000
강북구,201906,3673600
강북구,201907,3915200
강북구,201908,4147000
강북구,201909,3791600
강북구,201910,4565000
강북구,201911,4110600
강북구,201912,3946600
강북구,202001,5023500
강북구,202002,4639000
강북구,202003,4451700
강북구,202004,4348700
강북구,202005,4746200
강북구,202006,4369700
강북구,202007,4856600
강북구,202008,4382800
강북구,202009,4450200
강북구,202010,5073500
강북구,202011,5394600
강북구,202012,5069200
강북구,202101,5094300
강북구,202102,4840700
강북구,202103,5721900
강북구,202104,5528700
강북구,202105,6356500
강북구,202106,5681300
강북구,202107,5678000
강북구,202108,5177700
강북구,202109,5486300
강북구,202110,5588200
강북구,202111,5541400
강북구,202112,5261300
강북구,202201,5394000
강북구,202202,4810200
강북구,202203,5709900
강북구,202204,5634600
강북구,202205,5552700
강북구,202206,4321200
강서구,201801,11768400
강서구,201802,10807500
강서구,201803,11616700
강서구,201804,13081700
강서구,201805,12470100
강서구,201806,11908400
강서구,201807,13071800
강서구,201808,12893500
강서구,201809,12976700
강서구,201810,12151600
강서구,201811,12021200
강서구,201812,11564300
강서구,201901,11222400
강서구,201902,11052100
강서구,201903,13550800
강서구,201904,13298400
강서구,201905,13100200
강서구,201906,12318100
강서구,201907,12178700
강서구,201908,11789000
강서구,201909,11284500
강서구,201910,11549300
강서구,201911,11655600
강서구,201912,11436500
강서구,202001,11476100
강서구,202002,11731000
강서구,202003,11384200
강서구,202004,10747100
강서구,202005,11959300
강서구,202006,10885800
강서구,202007,11426100
강서구,202008,10536300
강서구,202009,10226100
강서구,202010,11609500
강서구,202011,11232000
강서구,202012,11085600
강서구,202101,10714400
강서구,202102,10900600
강서구,202103,12328300
강서구,202104,11496500
강서구,202105,12148800
강서구,202106,12402700
강서구,202107,11047300
강서구,202108,10719600
강서구,202109,10803400
강서구,202110,12318400
강서구,202111,12651600
강서구,202112,12445000
강서구,202201,12947600
강서구,202202,12042200
강서구,202203,12231200
강서구,202204,12725100
강서구,202205,11921200
강서구,202206,9470700
과천시,201807,44200
과천시,201808,47200
과천시,202101,35300
과천시,202108,32900
관악구,201801,5690000
관악구,201802,4738400
관악구,201803,6205700
관악구,201804,5799500
관악구,201805,6134000
