예정시간_년월,taxiFare_I
201801,109976400
201802,101314800
201803,110054600
201804,109245400
201805,111438500
201806,107386700
201807,111812200
201808,112840800
201809,112335600
201810,112661500
201811,109665700
201812,111671800
201901,112974800
201902,103271500
201903,111192900
201904,108535800
201905,113717100
201906,109971800
201907,113177900
201908,114651500
201909,114381300
201910,116377500
201911,112030900
201912,116958400
202001,117115400
202002,107052600
202003,109330200
202004,110149900
202005,114821700
202006,111947700
202007,116666100
202008,112195400
202009,108970600
202010,115482800
202011,111360200
202012,109683600
202101,105127200
202102,97848700
202103,110801900
202104,108565300
202105,113926600
202106,110275700
202107,111723700
202108,111611900
202109,110688300
202110,115302000
202111,111819000
202112,111563900
202201,112216200
202202,101549900
202203,110491300
202204,112612400
202205,118104100
202206,92915500
